time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1727242187610532647,-0.531,0.0,0.0,0.0,0.0,0.0
1727242187710919028,-0.531,0.0,0.0,0.0,0.0,0.0
1727242187810973298,-0.531,0.0,0.0,0.0,0.0,0.0
1727242187913558929,-0.531,0.0,0.0,0.0,0.0,0.0
1727242188011165497,-0.531,0.0,0.0,0.0,0.0,0.0
1727242188110869824,-0.531,0.0,0.0,0.0,0.0,0.0
1727242188210605294,-0.531,0.0,0.0,0.0,0.0,0.0
1727242188311005695,-0.531,0.0,0.0,0.0,0.0,0.0
1727242188410963384,-0.531,0.0,0.0,0.0,0.0,0.0
1727242188511410901,-0.531,0.0,0.0,0.0,0.0,0.0
1727242188611636971,-0.531,0.0,0.0,0.0,0.0,0.0
1727242188711114840,-0.531,0.0,0.0,0.0,0.0,0.0
1727242188811109052,-0.531,0.0,0.0,0.0,0.0,0.0
1727242188915258560,-0.531,0.0,0.0,0.0,0.0,0.0
1727242189010416871,-0.531,0.0,0.0,0.0,0.0,0.0
1727242189111315600,-0.531,0.0,0.0,0.0,0.0,0.0
1727242189211255939,-0.531,0.0,0.0,0.0,0.0,0.0
1727242189310434293,-0.531,0.0,0.0,0.0,0.0,0.0
1727242189319332065,-0.523,0.0,0.0,0.0,0.0,0.0
1727242189331246348,-0.499,0.0,0.0,0.0,0.0,0.0
1727242189343574358,-0.475,0.0,0.0,0.0,0.0,0.0
1727242189351417936,-0.443,0.0,0.0,0.0,0.0,0.0
1727242189367297701,-0.419,0.0,0.0,0.0,0.0,0.0
1727242189391508112,-0.388,0.0,0.0,0.0,0.0,0.0
1727242189403256494,-0.356,0.0,0.0,0.0,0.0,0.0
1727242189411190064,-0.356,0.0,0.0,0.0,0.0,0.0
1727242189423308848,-0.324,0.0,0.0,0.0,0.0,0.0
1727242189431191829,-0.3,0.0,0.0,0.0,0.0,0.0
1727242189455434487,-0.284,0.0,0.0,0.0,0.0,0.0
1727242189463227018,-0.268,0.0,0.0,0.0,0.0,0.0
1727242189483262629,-0.252,0.0,0.0,0.0,0.0,0.0
1727242189495247392,-0.244,0.0,0.0,0.0,0.0,0.0
1727242189511040741,-0.244,0.0,0.0,0.0,0.0,0.0
1727242189515235218,-0.228,0.0,0.0,0.0,0.0,0.0
1727242189531523432,-0.22,0.0,0.0,0.0,0.0,0.0
1727242189543273872,-0.212,0.0,0.0,0.0,0.0,0.0
1727242189559339714,-0.204,0.0,0.0,0.0,0.0,0.0
1727242189575359102,-0.196,0.0,0.0,0.0,0.0,0.0
1727242189610990536,-0.196,0.0,0.0,0.0,0.0,0.0
1727242189619585439,-0.188,0.0,0.0,0.0,0.0,0.0
1727242189711099461,-0.188,0.0,0.0,0.0,0.0,0.0
1727242189811367250,-0.188,0.0,0.0,0.0,0.0,0.0
1727242189913773203,-0.188,0.0,0.0,0.0,0.0,0.0
1727242190010446277,-0.188,0.0,0.0,0.0,0.0,0.0
1727242190110769100,-0.188,0.0,0.0,0.0,0.0,0.0
1727242190211037072,-0.188,0.0,0.0,0.0,0.0,0.0
1727242190311361334,-0.188,0.0,0.0,0.0,0.0,0.0
1727242190339972938,-0.173,0.0,0.0,0.0,0.0,0.0
1727242190367675304,-0.125,0.0,0.0,0.0,0.0,0.0
1727242190375519340,-0.093,0.0,0.0,0.0,0.0,0.0
1727242190395682893,-0.053,0.0,0.0,0.0,0.0,0.0
1727242190407757977,-0.013,0.0,0.0,0.0,0.0,0.0
1727242190410651376,-0.013,0.0,0.0,0.0,0.0,0.0
1727242190427740782,0.027,0.0,0.0,0.0,0.0,0.0
1727242190435607558,0.058,0.0,0.0,0.0,0.0,0.0
1727242190463977825,0.09,0.0,0.0,0.0,0.0,0.0
1727242190471692242,0.122,0.0,0.0,0.0,0.0,0.0
1727242190488081810,0.146,0.0,0.0,0.0,0.0,0.0
1727242190503819524,0.178,0.0,0.0,0.0,0.0,0.0
1727242190511153723,0.178,0.0,0.0,0.0,0.0,0.0
1727242190520232524,0.202,0.0,0.0,0.0,0.0,0.0
1727242190531938898,0.218,0.0,0.0,0.0,0.0,0.0
1727242190547755729,0.234,0.0,0.0,0.0,0.0,0.0
1727242190563803864,0.25,0.0,0.0,0.0,0.0,0.0
1727242190579735914,0.258,0.0,0.0,0.0,0.0,0.0
1727242190610873727,0.258,0.0,0.0,0.0,0.0,0.0
1727242190615851570,0.265,0.0,0.0,0.0,0.0,0.0
1727242190710907445,0.265,0.0,0.0,0.0,0.0,0.0
1727242190811203268,0.265,0.0,0.0,0.0,0.0,0.0
1727242190913852567,0.265,0.0,0.0,0.0,0.0,0.0
1727242191011614112,0.265,0.0,0.0,0.0,0.0,0.0
1727242191110621756,0.265,0.0,0.0,0.0,0.0,0.0
1727242191210838924,0.265,0.0,0.0,0.0,0.0,0.0
1727242191311000549,0.265,0.0,0.0,0.0,0.0,0.0
1727242191410896483,0.265,0.0,0.0,0.0,0.0,0.0
1727242191510994561,0.265,0.0,0.0,0.0,0.0,0.0
1727242191610632775,0.265,0.0,0.0,0.0,0.0,0.0
1727242191648011946,0.273,0.0,0.0,0.0,0.0,0.0
1727242191668050487,0.289,0.0,0.0,0.0,0.0,0.0
1727242191684046732,0.313,0.0,0.0,0.0,0.0,0.0
1727242191700008362,0.353,0.0,0.0,0.0,0.0,0.0
1727242191710357162,0.353,0.0,0.0,0.0,0.0,0.0
1727242191711970946,0.401,0.0,0.0,0.0,0.0,0.0
1727242191727999301,0.488,0.0,0.0,0.0,0.0,0.0
1727242191744013244,0.584,0.0,0.0,0.0,0.0,0.0
1727242191764035236,0.664,0.0,0.0,0.0,0.0,0.0
1727242191771854755,0.791,0.0,0.0,0.0,0.0,0.0
1727242191787953267,0.919,0.0,0.0,0.0,0.0,0.0
1727242191804046446,1.014,0.0,0.0,0.0,0.0,0.0
1727242191811118639,1.014,0.0,0.0,0.0,0.0,0.0
1727242191824216995,1.086,0.0,0.0,0.0,0.0,0.0
1727242191840223095,1.158,0.0,0.0,0.0,0.0,0.0
1727242191856114299,1.229,0.0,0.0,0.0,0.0,0.0
1727242191884339269,1.285,0.0,0.0,0.0,0.0,0.0
1727242191896236962,1.333,0.0,0.0,0.0,0.0,0.0
1727242191904060604,1.381,0.0,0.0,0.0,0.0,0.0
1727242191917189283,1.381,0.0,0.0,0.0,0.0,0.0
1727242191917759794,1.428,0.0,0.0,0.0,0.0,0.0
1727242191936048836,1.46,0.0,0.0,0.0,0.0,0.0
1727242191948224708,1.492,0.0,0.0,0.0,0.0,0.0
1727242191964378222,1.5,0.0,0.0,0.0,0.0,0.0
1727242192011303142,1.5,0.0,0.0,0.0,0.0,0.0
1727242192111103801,1.5,0.0,0.0,0.0,0.0,0.0
1727242192211207271,1.5,0.0,0.0,0.0,0.0,0.0
1727242192310706042,1.5,0.0,0.0,0.0,0.0,0.0
1727242192410893451,1.5,0.0,0.0,0.0,0.0,0.0
1727242192511150723,1.5,0.0,0.0,0.0,0.0,0.0
1727242192611666608,1.5,0.0,0.0,0.0,0.0,0.0
1727242192711528033,1.5,0.0,0.0,0.0,0.0,0.0
1727242192810485786,1.5,0.0,0.0,0.0,0.0,0.0
1727242192916722359,1.5,0.0,0.0,0.0,0.0,0.0
1727242193010561877,1.5,0.0,0.0,0.0,0.0,0.0
1727242193110907688,1.5,0.0,0.0,0.0,0.0,0.0
1727242193210496510,1.5,0.0,0.0,0.0,0.0,0.0
1727242193310513130,1.5,0.0,0.0,0.0,0.0,0.0
1727242193410688282,1.5,0.0,0.0,0.0,0.0,0.0
1727242193510908555,1.5,0.0,0.0,0.0,0.0,0.0
1727242193611204116,1.5,0.0,0.0,0.0,0.0,0.0
1727242193711795050,1.5,0.0,0.0,0.0,0.0,0.0
1727242193810610785,1.5,0.0,0.0,0.0,0.0,0.0
1727242193913828877,1.5,0.0,0.0,0.0,0.0,0.0
1727242194010738579,1.5,0.0,0.0,0.0,0.0,0.0
1727242194110626793,1.5,0.0,0.0,0.0,0.0,0.0
1727242194210775614,1.5,0.0,0.0,0.0,0.0,0.0
1727242194310564699,1.5,0.0,0.0,0.0,0.0,0.0
1727242194410983247,1.5,0.0,0.0,0.0,0.0,0.0
1727242194510735515,1.5,0.0,0.0,0.0,0.0,0.0
1727242194611016405,1.5,0.0,0.0,0.0,0.0,0.0
1727242194710959957,1.5,0.0,0.0,0.0,0.0,0.0
1727242194811524651,1.5,0.0,0.0,0.0,0.0,0.0
1727242194915446722,1.5,0.0,0.0,0.0,0.0,0.0
1727242195011010456,1.5,0.0,0.0,0.0,0.0,0.0
1727242195111554191,1.5,0.0,0.0,0.0,0.0,0.0
1727242195210603957,1.5,0.0,0.0,0.0,0.0,0.0
1727242195310892429,1.5,0.0,0.0,0.0,0.0,0.0
1727242195411173831,1.5,0.0,0.0,0.0,0.0,0.0
1727242195511474416,1.5,0.0,0.0,0.0,0.0,0.0
1727242195611361010,1.5,0.0,0.0,0.0,0.0,0.0
1727242195711405458,1.5,0.0,0.0,0.0,0.0,0.0
1727242195811290166,1.5,0.0,0.0,0.0,0.0,0.0
1727242195914040789,1.5,0.0,0.0,0.0,0.0,0.0
1727242196011675398,1.5,0.0,0.0,0.0,0.0,0.0
1727242196111465683,1.5,0.0,0.0,0.0,0.0,0.0
1727242196210546845,1.5,0.0,0.0,0.0,0.0,0.0
1727242196310902368,1.5,0.0,0.0,0.0,0.0,0.0
1727242196411196972,1.5,0.0,0.0,0.0,0.0,0.0
1727242196511612983,1.5,0.0,0.0,0.0,0.0,0.0
1727242196611577805,1.5,0.0,0.0,0.0,0.0,0.0
1727242196710863199,1.5,0.0,0.0,0.0,0.0,0.0
1727242196811538063,1.5,0.0,0.0,0.0,0.0,0.0
1727242196913732557,1.5,0.0,0.0,0.0,0.0,0.0
1727242197010529499,1.5,0.0,0.0,0.0,0.0,0.0
1727242197110820809,1.5,0.0,0.0,0.0,0.0,0.0
1727242197211012633,1.5,0.0,0.0,0.0,0.0,0.0
1727242197311575050,1.5,0.0,0.0,0.0,0.0,0.0
1727242197410765733,1.5,0.0,0.0,0.0,0.0,0.0
1727242197510908768,1.5,0.0,0.0,0.0,0.0,0.0
1727242197611294852,1.5,0.0,0.0,0.0,0.0,0.0
1727242197711754475,1.5,0.0,0.0,0.0,0.0,0.0
1727242197810812896,1.5,0.0,0.0,0.0,0.0,0.0
1727242197913930967,1.5,0.0,0.0,0.0,0.0,0.0
1727242198011397690,1.5,0.0,0.0,0.0,0.0,0.0
1727242198110649036,1.5,0.0,0.0,0.0,0.0,0.0
1727242198210959156,1.5,0.0,0.0,0.0,0.0,0.0
1727242198310998129,1.5,0.0,0.0,0.0,0.0,0.0
1727242198411113866,1.5,0.0,0.0,0.0,0.0,0.0
1727242198510820501,1.5,0.0,0.0,0.0,0.0,0.0
1727242198611599563,1.5,0.0,0.0,0.0,0.0,0.0
1727242198710680948,1.5,0.0,0.0,0.0,0.0,0.0
1727242198811003096,1.5,0.0,0.0,0.0,0.0,0.0
1727242198913707979,1.5,0.0,0.0,0.0,0.0,0.0
1727242199010958558,1.5,0.0,0.0,0.0,0.0,0.0
1727242199110926508,1.5,0.0,0.0,0.0,0.0,0.0
1727242199211023708,1.5,0.0,0.0,0.0,0.0,0.0
1727242199310925773,1.5,0.0,0.0,0.0,0.0,0.0
1727242199411180819,1.5,0.0,0.0,0.0,0.0,0.0
1727242199511134210,1.5,0.0,0.0,0.0,0.0,0.0
1727242199611694169,1.5,0.0,0.0,0.0,0.0,0.0
1727242199710721879,1.5,0.0,0.0,0.0,0.0,0.0
1727242199811399307,1.5,0.0,0.0,0.0,0.0,0.0
1727242199915640851,1.5,0.0,0.0,0.0,0.0,0.0
1727242200010882602,1.5,0.0,0.0,0.0,0.0,0.0
1727242200111480872,1.5,0.0,0.0,0.0,0.0,0.0
1727242200210780676,1.5,0.0,0.0,0.0,0.0,0.0
1727242200310915956,1.5,0.0,0.0,0.0,0.0,0.0
1727242200410982679,1.5,0.0,0.0,0.0,0.0,0.0
1727242200511174924,1.5,0.0,0.0,0.0,0.0,0.0
1727242200611284717,1.5,0.0,0.0,0.0,0.0,0.0
1727242200710545860,1.5,0.0,0.0,0.0,0.0,0.0
1727242200811002695,1.5,0.0,0.0,0.0,0.0,0.0
1727242200913973150,1.5,0.0,0.0,0.0,0.0,0.0
1727242201010523776,1.5,0.0,0.0,0.0,0.0,0.0
1727242201110693895,1.5,0.0,0.0,0.0,0.0,0.0
1727242201211028482,1.5,0.0,0.0,0.0,0.0,0.0
1727242201311361174,1.5,0.0,0.0,0.0,0.0,0.0
1727242201410622467,1.5,0.0,0.0,0.0,0.0,0.0
1727242201510792781,1.5,0.0,0.0,0.0,0.0,0.0
1727242201610856384,1.5,0.0,0.0,0.0,0.0,0.0
1727242201711053358,1.5,0.0,0.0,0.0,0.0,0.0
1727242201811387904,1.5,0.0,0.0,0.0,0.0,0.0
1727242201913546089,1.5,0.0,0.0,0.0,0.0,0.0
1727242202011184999,1.5,0.0,0.0,0.0,0.0,0.0
1727242202110850031,1.5,0.0,0.0,0.0,0.0,0.0
1727242202210864236,1.5,0.0,0.0,0.0,0.0,0.0
1727242202311181924,1.5,0.0,0.0,0.0,0.0,0.0
1727242202411448368,1.5,0.0,0.0,0.0,0.0,0.0
1727242202510412755,1.5,0.0,0.0,0.0,0.0,0.0
1727242202610989532,1.5,0.0,0.0,0.0,0.0,0.0
1727242202711065706,1.5,0.0,0.0,0.0,0.0,0.0
1727242202811289625,1.5,0.0,0.0,0.0,0.0,0.0
1727242202915257301,1.5,0.0,0.0,0.0,0.0,0.0
1727242203011020780,1.5,0.0,0.0,0.0,0.0,0.0
1727242203111041623,1.5,0.0,0.0,0.0,0.0,0.0
1727242203210476403,1.5,0.0,0.0,0.0,0.0,0.0
1727242203311038228,1.5,0.0,0.0,0.0,0.0,0.0
1727242203411018589,1.5,0.0,0.0,0.0,0.0,0.0
1727242203511012584,1.5,0.0,0.0,0.0,0.0,0.0
1727242203610996309,1.5,0.0,0.0,0.0,0.0,0.0
1727242203710912528,1.5,0.0,0.0,0.0,0.0,0.0
1727242203811070666,1.5,0.0,0.0,0.0,0.0,0.0
1727242203913910707,1.5,0.0,0.0,0.0,0.0,0.0
1727242204011345265,1.5,0.0,0.0,0.0,0.0,0.0
1727242204111315545,1.5,0.0,0.0,0.0,0.0,0.0
1727242204210432796,1.5,0.0,0.0,0.0,0.0,0.0
1727242204311391881,1.5,0.0,0.0,0.0,0.0,0.0
1727242204411379146,1.5,0.0,0.0,0.0,0.0,0.0
1727242204510688735,1.5,0.0,0.0,0.0,0.0,0.0
1727242204610637543,1.5,0.0,0.0,0.0,0.0,0.0
1727242204710827607,1.5,0.0,0.0,0.0,0.0,0.0
1727242204810997255,1.5,0.0,0.0,0.0,0.0,0.0
1727242204912851797,1.5,0.0,0.0,0.0,0.0,0.0
1727242205010645803,1.5,0.0,0.0,0.0,0.0,0.0
1727242205110517671,1.5,0.0,0.0,0.0,0.0,0.0
1727242205210607704,1.5,0.0,0.0,0.0,0.0,0.0
1727242205310684003,1.5,0.0,0.0,0.0,0.0,0.0
1727242205410907666,1.5,0.0,0.0,0.0,0.0,0.0
1727242205510614164,1.5,0.0,0.0,0.0,0.0,0.0
1727242205610947952,1.5,0.0,0.0,0.0,0.0,0.0
1727242205655749684,1.492,0.0,0.0,0.0,0.0,0.0
1727242205703714543,1.484,0.0,0.0,0.0,0.0,0.0
1727242205710709291,1.484,0.0,0.0,0.0,0.0,0.0
1727242205743679632,1.476,0.0,0.0,0.0,0.0,0.0
